script	w	h	seed	items	rendered	offscreen	occluded	skipped	nonwhite	gen_ms	raster_ms
artdeco	960	540	h0	7	6	1	0	26417	498683	0.011	3.218
artdeco	960	540	h1	33	23	2	8	1160166	298473	0.013	10.035
artdeco	960	540	h2	21	19	1	1	480089	440239	0.010	5.739
artdeco	960	540	h3	31	27	2	2	1267058	265939	0.011	9.406
artdeco	960	540	h4	33	23	2	8	1160166	298473	0.011	8.791
artdeco	960	540	h5	27	20	1	6	798249	218262	0.011	7.247
artdeco	960	540	h6	13	12	1	0	128018	483902	0.008	3.509
artdeco	960	540	h7	21	19	1	1	480089	440239	0.009	5.594
artdeco	960	540	h8	21	19	1	1	480089	440239	0.009	5.606
artdeco	960	540	h9	13	12	1	0	128018	483902	0.009	3.588
artdeco	960	540	h10	27	20	1	6	798249	218262	0.010	7.269
artdeco	960	540	h11	33	23	2	8	1160166	298473	0.011	8.668
artdeco	960	540	h12	31	27	2	2	1267058	265939	0.010	9.321
artdeco	960	540	h13	21	19	1	1	480089	440239	0.009	5.596
artdeco	960	540	h14	33	23	2	8	1160166	298473	0.014	8.718
artdeco	960	540	h15	7	6	1	0	26417	498683	0.008	2.284
artdeco	960	540	h16	33	23	2	8	1160166	298473	0.010	8.664
artdeco	960	540	h17	21	19	1	1	480089	440239	0.009	5.578
artdeco	960	540	h18	31	27	2	2	1267058	265939	0.010	9.414
artdeco	960	540	h19	33	23	2	8	1160166	298473	0.011	8.731
artdeco	960	540	h20	27	20	1	6	798249	218262	0.010	7.057
artdeco	960	540	h21	13	12	1	0	128018	483902	0.009	3.481
artdeco	960	540	h22	21	19	1	1	480089	440239	0.009	5.532
artdeco	960	540	h23	21	19	1	1	480089	440239	0.009	5.540
artdeco	200	200	h0	7	6	1	0	1832	38823	0.008	0.240
artdeco	200	200	h1	33	24	1	8	74852	23656	0.012	1.046
artdeco	200	200	h2	21	19	1	1	26020	34975	0.010	0.636
artdeco	200	200	h3	31	29	1	1	76973	21848	0.011	1.022
artdeco	200	200	h4	33	24	1	8	74852	23656	0.011	0.963
artdeco	200	200	h5	27	21	1	5	49350	22315	0.010	0.801
artdeco	200	200	h6	13	12	1	0	6933	37825	0.008	0.385
artdeco	200	200	h7	21	19	1	1	26020	34975	0.009	0.624
artdeco	200	200	h8	21	19	1	1	26020	34975	0.009	0.626
artdeco	200	200	h9	13	12	1	0	6933	37825	0.008	0.381
artdeco	200	200	h10	27	21	1	5	49350	22315	0.009	0.818
artdeco	200	200	h11	33	24	1	8	74852	23656	0.011	0.977
artdeco	200	200	h12	31	29	1	1	76973	21848	0.010	1.004
artdeco	200	200	h13	21	19	1	1	26020	34975	0.009	0.653
artdeco	200	200	h14	33	24	1	8	74852	23656	0.011	1.010
artdeco	200	200	h15	7	6	1	0	1832	38823	0.008	0.258
artdeco	200	200	h16	33	24	1	8	74852	23656	0.011	1.043
artdeco	200	200	h17	21	19	1	1	26020	34975	0.010	0.633
artdeco	200	200	h18	31	29	1	1	76973	21848	0.011	1.007
artdeco	200	200	h19	33	24	1	8	74852	23656	0.012	0.966
artdeco	200	200	h20	27	21	1	5	49350	22315	0.010	0.817
artdeco	200	200	h21	13	12	1	0	6933	37825	0.008	0.381
artdeco	200	200	h22	21	19	1	1	26020	34975	0.011	0.635
artdeco	200	200	h23	21	19	1	1	26020	34975	0.009	0.632
circuits	960	540	h0	351	337	14	0	198060	198060	0.217	2.727
circuits	960	540	h1	351	337	14	0	199512	199512	0.218	2.730
circuits	960	540	h2	25	19	6	0	197127	197127	0.029	2.227
circuits	960	540	h3	61	61	0	0	192850	192850	0.050	2.371
circuits	960	540	h4	61	61	0	0	198100	198100	0.050	2.364
circuits	960	540	h5	46	41	5	0	206388	206388	0.041	2.269
circuits	960	540	h6	351	337	14	0	200712	200712	0.240	2.756
circuits	960	540	h7	351	337	14	0	198536	198536	0.241	2.827
circuits	960	540	h8	25	19	6	0	196722	196722	0.030	2.201
circuits	960	540	h9	351	337	14	0	197732	197732	0.220	2.746
circuits	960	540	h10	171	145	26	0	198306	198306	0.114	2.593
circuits	960	540	h11	171	145	26	0	197352	197352	0.122	2.645
circuits	960	540	h12	16	16	0	0	201500	201500	0.025	2.162
circuits	960	540	h13	46	41	5	0	195480	195480	0.049	2.309
circuits	960	540	h14	16	16	0	0	204600	204600	0.027	2.231
circuits	960	540	h15	29	29	0	0	203119	203119	0.034	2.360
circuits	960	540	h16	171	145	26	0	198423	198423	0.111	2.615
circuits	960	540	h17	171	145	26	0	198333	198333	0.130	2.592
circuits	960	540	h18	29	29	0	0	198618	198618	0.032	2.357
circuits	960	540	h19	29	25	4	0	186688	186688	0.035	2.176
circuits	960	540	h20	92	85	7	0	201776	201776	0.067	2.494
circuits	960	540	h21	92	85	7	0	204096	204096	0.068	2.459
circuits	960	540	h22	16	16	0	0	192525	192525	0.025	2.173
circuits	960	540	h23	29	29	0	0	202391	202391	0.032	2.317
circuits	200	200	h0	37	26	11	0	15280	15280	0.037	0.232
circuits	200	200	h1	37	26	11	0	15328	15328	0.036	0.229
circuits	200	200	h2	5	5	0	0	13689	13689	0.018	0.191
circuits	200	200	h3	10	5	5	0	16875	16875	0.021	0.192
circuits	200	200	h4	10	5	5	0	16825	16825	0.022	0.194
circuits	200	200	h5	5	5	0	0	16672	16672	0.022	0.205
circuits	200	200	h6	37	26	11	0	15900	15900	0.036	0.224
circuits	200	200	h7	37	26	11	0	15452	15452	0.037	0.223
circuits	200	200	h8	5	5	0	0	13689	13689	0.018	0.186
circuits	200	200	h9	37	26	11	0	14984	14984	0.036	0.222
circuits	200	200	h10	17	17	0	0	14404	14404	0.025	0.217
circuits	200	200	h11	17	17	0	0	14497	14497	0.025	0.222
circuits	200	200	h12	5	2	3	0	15100	15100	0.017	0.197
circuits	200	200	h13	5	5	0	0	16168	16168	0.017	0.194
circuits	200	200	h14	2	2	0	0	15081	15081	0.013	0.176
circuits	200	200	h15	5	5	0	0	15323	15323	0.021	0.211
circuits	200	200	h16	17	17	0	0	14407	14407	0.025	0.223
circuits	200	200	h17	17	17	0	0	14560	14560	0.035	0.234
circuits	200	200	h18	5	5	0	0	15911	15911	0.017	0.192
circuits	200	200	h19	5	5	0	0	12416	12416	0.018	0.179
circuits	200	200	h20	10	10	0	0	15872	15872	0.022	0.203
circuits	200	200	h21	10	10	0	0	15984	15984	0.021	0.208
circuits	200	200	h22	2	2	0	0	17050	17050	0.014	0.176
circuits	200	200	h23	5	5	0	0	15325	15325	0.017	0.195
city	960	540	h0	351	169	182	0	74880	74880	0.266	2.320
city	960	540	h1	351	169	182	0	74668	74668	0.265	2.361
city	960	540	h2	25	13	12	0	92286	92286	0.034	2.007
city	960	540	h3	61	31	30	0	86825	86825	0.060	2.049
city	960	540	h4	61	31	30	0	82500	82500	0.063	2.019
city	960	540	h5	46	25	21	0	74916	74916	0.052	1.923
