script	canvas	path	rep	parse	gen	raster	items	skipped
artdeco	960x540	displaylist	1	0.043	0.008	2.345	7	26417
artdeco	960x540	displaylist	2	0.041	0.008	2.339	7	26417
artdeco	960x540	displaylist	3	0.040	0.008	2.313	7	26417
artdeco	960x540	displaylist	4	0.043	0.008	2.298	7	26417
artdeco	960x540	displaylist	5	0.039	0.008	2.328	7	26417
artdeco	960x540	displaylist	6	0.040	0.008	2.298	7	26417
artdeco	960x540	displaylist	7	0.039	0.008	2.345	7	26417
artdeco	960x540	displaylist	8	0.041	0.009	2.359	7	26417
artdeco	960x540	displaylist	9	0.041	0.008	2.364	7	26417
artdeco	960x540	displaylist-nomap	1	0.042	0.008	1.771	7	0
artdeco	960x540	displaylist-nomap	2	0.039	0.008	1.745	7	0
artdeco	960x540	displaylist-nomap	3	0.042	0.008	1.758	7	0
artdeco	960x540	displaylist-nomap	4	0.040	0.008	1.746	7	0
artdeco	960x540	displaylist-nomap	5	0.041	0.008	1.745	7	0
artdeco	960x540	displaylist-nomap	6	0.049	0.008	1.768	7	0
artdeco	960x540	displaylist-nomap	7	0.039	0.008	1.736	7	0
artdeco	960x540	displaylist-nomap	8	0.040	0.008	1.775	7	0
artdeco	960x540	displaylist-nomap	9	0.042	0.008	1.751	7	0
artdeco	200x200	displaylist	1	0.039	0.008	0.249	7	1832
artdeco	200x200	displaylist	2	0.042	0.008	0.255	7	1832
artdeco	200x200	displaylist	3	0.039	0.008	0.238	7	1832
artdeco	200x200	displaylist	4	0.041	0.008	0.246	7	1832
artdeco	200x200	displaylist	5	0.039	0.008	0.243	7	1832
artdeco	200x200	displaylist	6	0.039	0.008	0.237	7	1832
artdeco	200x200	displaylist	7	0.039	0.008	0.257	7	1832
artdeco	200x200	displaylist	8	0.038	0.007	0.238	7	1832
artdeco	200x200	displaylist	9	0.042	0.008	0.249	7	1832
artdeco	200x200	displaylist-nomap	1	0.039	0.007	0.191	7	0
artdeco	200x200	displaylist-nomap	2	0.041	0.009	0.209	7	0
artdeco	200x200	displaylist-nomap	3	0.039	0.008	0.191	7	0
artdeco	200x200	displaylist-nomap	4	0.041	0.008	0.203	7	0
artdeco	200x200	displaylist-nomap	5	0.038	0.007	0.192	7	0
artdeco	200x200	displaylist-nomap	6	0.041	0.008	0.204	7	0
artdeco	200x200	displaylist-nomap	7	0.038	0.008	0.193	7	0
artdeco	200x200	displaylist-nomap	8	0.039	0.008	0.191	7	0
artdeco	200x200	displaylist-nomap	9	0.042	0.008	0.201	7	0
circuits	960x540	displaylist	1	0.145	0.026	2.254	16	204600
circuits	960x540	displaylist	2	0.139	0.033	2.232	16	204600
circuits	960x540	displaylist	3	0.136	0.024	2.249	16	204600
circuits	960x540	displaylist	4	0.135	0.025	2.266	16	204600
circuits	960x540	displaylist	5	0.135	0.025	2.288	16	204600
circuits	960x540	displaylist	6	0.145	0.026	2.214	16	204600
circuits	960x540	displaylist	7	0.136	0.025	2.272	16	204600
circuits	960x540	displaylist	8	0.137	0.025	2.228	16	204600
circuits	960x540	displaylist	9	0.137	0.024	2.282	16	204600
circuits	960x540	displaylist-nomap	1	0.145	0.026	1.825	16	0
circuits	960x540	displaylist-nomap	2	0.137	0.025	1.834	16	0
circuits	960x540	displaylist-nomap	3	0.136	0.024	1.817	16	0
circuits	960x540	displaylist-nomap	4	0.135	0.024	1.846	16	0
circuits	960x540	displaylist-nomap	5	0.139	0.025	1.832	16	0
circuits	960x540	displaylist-nomap	6	0.148	0.026	1.936	16	0
circuits	960x540	displaylist-nomap	7	0.137	0.024	1.842	16	0
circuits	960x540	displaylist-nomap	8	0.145	0.026	1.820	16	0
circuits	960x540	displaylist-nomap	9	0.135	0.024	1.800	16	0
circuits	200x200	displaylist	1	0.138	0.014	0.189	2	15081
circuits	200x200	displaylist	2	0.148	0.015	0.187	2	15081
circuits	200x200	displaylist	3	0.134	0.014	0.176	2	15081
circuits	200x200	displaylist	4	0.144	0.015	0.183	2	15081
circuits	200x200	displaylist	5	0.141	0.019	0.197	2	15081
circuits	200x200	displaylist	6	0.138	0.014	0.176	2	15081
circuits	200x200	displaylist	7	0.134	0.014	0.187	2	15081
circuits	200x200	displaylist	8	0.141	0.014	0.185	2	15081
circuits	200x200	displaylist	9	0.144	0.015	0.180	2	15081
circuits	200x200	displaylist-nomap	1	0.143	0.015	0.157	2	0
circuits	200x200	displaylist-nomap	2	0.134	0.014	0.147	2	0
circuits	200x200	displaylist-nomap	3	0.144	0.015	0.149	2	0
circuits	200x200	displaylist-nomap	4	0.137	0.014	0.161	2	0
circuits	200x200	displaylist-nomap	5	0.144	0.015	0.154	2	0
circuits	200x200	displaylist-nomap	6	0.150	0.015	0.156	2	0
circuits	200x200	displaylist-nomap	7	0.145	0.015	0.157	2	0
circuits	200x200	displaylist-nomap	8	0.135	0.014	0.146	2	0
circuits	200x200	displaylist-nomap	9	0.140	0.014	0.148	2	0
city	960x540	displaylist	1	0.184	0.027	1.870	16	84238
city	960x540	displaylist	2	0.198	0.029	1.863	16	84238
city	960x540	displaylist	3	0.183	0.027	1.883	16	84238
city	960x540	displaylist	4	0.184	0.032	1.887	16	84238
city	960x540	displaylist	5	0.184	0.028	1.852	16	84238
city	960x540	displaylist	6	0.186	0.028	1.906	16	84238
city	960x540	displaylist	7	0.185	0.027	1.857	16	84238
city	960x540	displaylist	8	0.199	0.029	1.868	16	84238
city	960x540	displaylist	9	0.183	0.027	1.875	16	84238
city	960x540	displaylist-nomap	1	0.183	0.027	1.370	16	0
city	960x540	displaylist-nomap	2	0.185	0.028	1.421	16	0
city	960x540	displaylist-nomap	3	0.188	0.028	1.402	16	0
city	960x540	displaylist-nomap	4	0.186	0.028	1.373	16	0
city	960x540	displaylist-nomap	5	0.194	0.028	1.361	16	0
city	960x540	displaylist-nomap	6	0.184	0.027	1.360	16	0
city	960x540	displaylist-nomap	7	0.195	0.027	1.369	16	0
city	960x540	displaylist-nomap	8	0.191	0.028	1.390	16	0
city	960x540	displaylist-nomap	9	0.183	0.027	1.379	16	0
city	200x200	displaylist	1	0.185	0.013	0.177	2	15653
city	200x200	displaylist	2	0.185	0.014	0.190	2	15653
city	200x200	displaylist	3	0.197	0.014	0.188	2	15653
city	200x200	displaylist	4	0.197	0.015	0.189	2	15653
city	200x200	displaylist	5	0.184	0.014	0.186	2	15653
city	200x200	displaylist	6	0.184	0.014	0.177	2	15653
city	200x200	displaylist	7	0.185	0.014	0.196	2	15653
city	200x200	displaylist	8	0.184	0.013	0.176	2	15653
city	200x200	displaylist	9	0.195	0.014	0.181	2	15653
city	200x200	displaylist-nomap	1	0.186	0.014	0.155	2	0
city	200x200	displaylist-nomap	2	0.182	0.013	0.154	2	0
city	200x200	displaylist-nomap	3	0.185	0.014	0.165	2	0
city	200x200	displaylist-nomap	4	0.200	0.015	0.160	2	0
city	200x200	displaylist-nomap	5	0.188	0.014	0.150	2	0
city	200x200	displaylist-nomap	6	0.197	0.015	0.151	2	0
city	200x200	displaylist-nomap	7	0.184	0.014	0.151	2	0
city	200x200	displaylist-nomap	8	0.197	0.014	0.150	2	0
city	200x200	displaylist-nomap	9	0.186	0.014	0.156	2	0
city2	960x540	displaylist	1	0.268	0.036	2.228	16	160526
city2	960x540	displaylist	2	0.252	0.035	2.266	16	160526
city2	960x540	displaylist	3	0.266	0.037	2.214	16	160526
city2	960x540	displaylist	4	0.270	0.036	2.219	16	160526
city2	960x540	displaylist	5	0.268	0.036	2.280	16	160526
city2	960x540	displaylist	6	0.254	0.034	2.240	16	160526
city2	960x540	displaylist	7	0.273	0.037	2.246	16	160526
city2	960x540	displaylist	8	0.253	0.035	2.258	16	160526
city2	960x540	displaylist	9	0.252	0.034	2.245	16	160526
city2	960x540	displaylist-nomap	1	0.276	0.036	1.855	16	0
city2	960x540	displaylist-nomap	2	0.264	0.035	1.801	16	0
city2	960x540	displaylist-nomap	3	0.270	0.037	1.824	16	0
city2	960x540	displaylist-nomap	4	0.252	0.034	1.840	16	0
city2	960x540	displaylist-nomap	5	0.253	0.034	1.799	16	0
city2	960x540	displaylist-nomap	6	0.267	0.036	1.798	16	0
city2	960x540	displaylist-nomap	7	0.264	0.037	1.801	16	0
city2	960x540	displaylist-nomap	8	0.252	0.035	1.793	16	0
city2	960x540	displaylist-nomap	9	0.250	0.035	1.822	16	0
city2	200x200	displaylist	1	0.257	0.017	0.175	2	6699
city2	200x200	displaylist	2	0.272	0.018	0.186	2	6699
city2	200x200	displaylist	3	0.250	0.018	0.188	2	6699
city2	200x200	displaylist	4	0.250	0.018	0.176	2	6699
city2	200x200	displaylist	5	0.272	0.019	0.180	2	6699
city2	200x200	displaylist	6	0.250	0.017	0.192	2	6699
city2	200x200	displaylist	7	0.249	0.017	0.175	2	6699
city2	200x200	displaylist	8	0.266	0.019	0.178	2	6699
city2	200x200	displaylist	9	0.251	0.018	0.196	2	6699
city2	200x200	displaylist-nomap	1	0.250	0.017	0.142	2	0
city2	200x200	displaylist-nomap	2	0.267	0.019	0.143	2	0
city2	200x200	displaylist-nomap	3	0.268	0.018	0.150	2	0
city2	200x200	displaylist-nomap	4	0.249	0.017	0.140	2	0
city2	200x200	displaylist-nomap	5	0.265	0.018	0.149	2	0
city2	200x200	displaylist-nomap	6	0.253	0.018	0.157	2	0
city2	200x200	displaylist-nomap	7	0.248	0.018	0.139	2	0
city2	200x200	displaylist-nomap	8	0.269	0.018	0.148	2	0
city2	200x200	displaylist-nomap	9	0.251	0.017	0.140	2	0
city_harness	960x540	displaylist	1	0.144	11.866	2.814	20737	218560
city_harness	960x540	displaylist	2	0.132	12.240	2.721	20737	218560
city_harness	960x540	displaylist	3	0.132	12.493	2.740	20737	218560
city_harness	960x540	displaylist	4	0.133	12.334	2.761	20737	218560
city_harness	960x540	displaylist	5	0.133	12.693	2.720	20737	218560
